Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Dialogue Act
72,"I love the specifics, the specifics were the best part!",Chandler,joy,6,6,8,22,"00:12:38,954","00:12:43,000",o
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,6,7,8,22,"00:12:43,209","00:12:48,255",q
74,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,6,8,8,22,"00:12:49,298","00:12:54,929",ans
75,You fell asleep!!,Joey,anger,6,9,8,22,"00:12:55,930","00:12:56,931",s
76,There was no kangaroo!,Joey,anger,6,10,8,22,"0:12:58,432","0:12:59,809",s
77,They didnt take any of my suggestions!,Joey,anger,6,11,8,22,"0:12:59,809","0:13:03,196",s
78,Thats for coming buddy.,Joey,neutral,6,12,8,22,"0:13:05,940","0:13:07,242",o
79,Ill see you later.,Joey,neutral,6,13,8,22,"0:13:07,242","0:13:08,202",s
80,Dont go!,Chandler,sadness,6,14,8,22,"0:13:08,202","0:13:08,804",c
81,Im sorry.,Chandler,sadness,6,15,8,22,"0:13:08,804","0:13:09,526",ap
82,Im so sorry!,Chandler,sadness,6,16,8,22,"0:13:09,526","0:13:10,832",ap
83,Look!,Chandler,surprise,6,17,8,22,"0:13:10,945","0:13:11,407",c
84,This guy fell asleep!,Chandler,anger,6,18,8,22,"0:13:11,407","0:13:12,589",s
85,He fell asleep too!,Chandler,anger,6,19,8,22,"0:13:12,589","0:13:13,215",s
86,Be mad at him!,Chandler,anger,6,20,8,22,"0:13:13,215","0:13:14,108",o
87,"Or, call an ambulance.",Chandler,anger,6,21,8,22,"00:13:16,367","00:13:18,244",o
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,7,0,6,9,"00:12:51,020","00:12:53,897",o
89,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",Ross,anger,7,1,6,9,"00:12:54,106","00:12:58,193",q
90,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,8,0,6,23,"00:19:17,865","00:19:21,951",o
91,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,8,1,6,23,"00:19:17,865","00:19:25,204",o
92,"Okay, thats enough honey!",Chandler,neutral,8,2,6,23,"00:19:25,372","00:19:26,706",s
93,I dont know. Let me see the ring.,Customer,neutral,8,3,6,23,"00:19:28,375","00:19:34,964",s
94,"Great! Okay, here.",Chandler,joy,8,4,6,23,"00:19:32,129","00:19:34,964",ag
95,All right.,Customer,neutral,8,5,6,23,"0:19:37,342","0:19:39,934",oth
96,Thank you. Thank you. Thank you! And,Chandler,joy,8,6,6,23,"0:19:39,934","0:19:40,074",a
97,What've you been up to?,Chandler,neutral,9,0,2,5,"00:01:51,903","00:01:54,738",q
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,9,1,2,5,"00:01:54,948","00:02:01,203",ans
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,9,2,2,5,"00:02:01,621","00:02:07,459",s
100,Can you hold on a moment? I have another call. I love her.,Chandler,joy,9,3,2,5,"00:02:10,547","00:02:14,758",s
101,I know.,Ross,neutral,9,4,2,5,"00:02:13,091","00:02:14,758",ag
102,I'm back.,Chandler,neutral,9,5,2,5,"0:02:16,261","0:02:16,903",s
103,"So, are we gonna get together or what?",Jade,neutral,9,6,2,5,"0:02:16,903","0:02:19,185",q
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,9,7,2,5,"00:02:19,347","00:02:25,561",ans
105,"Great, I'll see you then.",Jade,neutral,9,8,2,5,"00:02:25,770","00:02:28,647",ag
106,Ok. Ok. Having a phone has finally paid off.,Chandler,joy,9,9,2,5,"00:02:32,318","00:02:34,528",s
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,9,10,2,5,"00:02:36,823","00:02:43,620",o
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,9,11,2,5,"00:02:47,375","00:02:52,337",o
109,Oh my god. You are pure evil.,Ross,disgust,9,12,2,5,"00:02:52,547","00:02:55,299",o
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,9,13,2,5,"00:02:56,634","00:03:05,058",s
111,Nobody!,Phoebe,anger,10,0,5,10,"0:11:57,091","0:11:58,551",oth
112,Nobody respects the bucket!,Phoebe,anger,10,1,5,10,"0:11:58,551","0:11:59,947",o
113,You wouldn't believe what people put in here!,Phoebe,anger,10,2,5,10,"00:12:00,553","00:12:02,721",s
114,Look!,Phoebe,anger,10,3,5,10,"00:12:02,888","00:12:04,597",c
115,"Okay, does this look like a garbage can to you?",Phoebe,anger,10,4,5,10,"00:12:02,888","00:12:07,016",q
116,No.,Monica,neutral,10,5,5,10,"00:12:04,765","00:12:07,016",ans
117,This is my wedding.,Ross,neutral,11,0,4,23,"00:03:10,815","00:03:12,024",s
118,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",Monica,anger,11,1,4,23,"00:03:13,318","00:03:16,737",s
119,Fine. Youll-youll watch it on video when we get back.,Ross,neutral,11,2,4,23,"00:03:18,781","00:03:21,491",s
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,11,3,4,23,"00:03:22,869","00:03:25,704",s
121,Thank you.,Phoebe,neutral,11,4,4,23,"0:03:27,790","0:03:28,791",g
122,Thank you.,Phoebe,neutral,11,5,4,23,"0:03:28,791","0:03:28,931",g
123,"All right, lets go! Bye, Pheebs!",Ross,joy,11,6,4,23,"00:03:32,503","00:03:34,463",g
124,"Bye, Pheebs!",Joey,joy,11,7,4,23,"00:03:34,631","00:03:36,340",g
125,London baby!!,Joey,joy,11,8,4,23,"00:03:40,803","00:03:42,554",oth
126,"Oh, do you need a hug? You dont have to bring me anything!",Phoebe,joy,11,9,4,23,"00:03:44,849","00:03:51,563",o
127,Hey!,Chandler,neutral,12,0,6,4,"00:09:47,295","00:09:49,045",g
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,Joey,joy,12,1,6,4,"00:09:47,295","00:09:56,177",s
129,"Thats great, but shouldnt you be on the toilet right now?",Chandler,disgust,12,2,6,4,"00:09:57,346","00:10:00,890",q
130,What?!,Joey,surprise,12,3,6,4,"0:10:04,312","0:10:05,647",q
131,Whats wrong with you?,Chandler,disgust,12,4,6,4,"0:10:05,647","0:10:06,929",q
132,Nothing!,Joey,neutral,12,5,6,4,"00:10:07,023","00:10:08,023",ans
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",Joey,fear,12,6,6,4,"00:10:08,190","00:10:18,575",s
134,"But um, I dont think its anything serious.",Joey,neutral,12,7,6,4,"00:10:18,743","00:10:21,536",o
135,This sounds like a hernia. You have toyou-you go to the doctor!,Chandler,surprise,12,8,6,4,"00:10:21,704","00:10:24,706",o
136,"No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",Joey,fear,12,9,6,4,"00:10:24,874","00:10:31,463",dag
137,Thats a hernia.,Chandler,disgust,12,10,6,4,"00:10:34,842","00:10:36,009",s
138,Why did I have to start working out again? Damn you 15s!,Joey,anger,12,11,6,4,"00:10:36,177","00:10:41,556",q
139,I love your place! Where is this guy from?,Mona,joy,13,0,8,8,"00:10:36,844","00:10:40,930",q
140,Uh thats an eighteenth century Indian artifact from Calcutta.,Ross,neutral,13,1,8,8,"00:10:41,098","00:10:50,899",ans
141,"Oh wow! So, youre more than just dinosaurs.",Mona,surprise,13,2,8,8,"00:10:44,894","00:10:50,899",o
142,So much more.,Ross,neutral,13,3,8,8,"00:10:51,567","00:10:53,485",ag
143,"Well, well to sum up, were having fun, you look young.",Ross,neutral,14,0,8,11,"00:13:42,112","00:13:53,456",s
144,Okay,Mona,neutral,14,1,8,11,"00:13:57,253","00:14:00,171",ag
145,But thats not enough. So Soheres a key to my apartment.,Ross,neutral,14,2,8,11,"00:13:57,253","00:14:06,135",s
146,Really?!,Mona,surprise,14,3,8,11,"0:14:12,184","0:14:14,986",q
147,Really.,Ross,neutral,14,4,8,11,"0:14:14,986","0:14:15,320",ans
148,You dont think this is too fast.,Mona,neutral,14,5,8,11,"00:14:16,897","00:14:20,316",o
149,Get Out!,Ross,anger,15,0,9,23,"00:42:09,652","00:42:13,488",c
150,"Ross, can I talk to you for a minute?",Charlie,neutral,15,1,9,23,"00:42:15,032","00:42:16,908",q
151,"Yes, please! So, what's going on?",Ross,neutral,15,2,9,23,"00:42:17,117","00:42:23,998",ans
152,"Uh, well... Joey and I broke up.",Charlie,sadness,15,3,9,23,"00:42:26,126","00:42:29,754",s
153,"Oh my God, wh-what happened?",Ross,surprise,15,4,9,23,"00:42:30,464","00:42:35,885",q
154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,15,5,9,23,"00:42:36,053","00:42:44,561",ans
155,I knew that was him!,Ross,anger,15,6,9,23,"00:42:42,059","00:42:44,561",o
156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,15,7,9,23,"00:42:46,313","00:42:50,108",o
157,"Hey, you ok?",Ross,neutral,15,8,9,23,"0:42:51,068","0:42:52,950",q
158,I guess.,Charlie,sadness,15,9,9,23,"0:42:52,950","0:42:55,208",ans
159,There was hum... there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,15,10,9,23,"00:42:57,866","00:43:05,915",s
160,I started to realize that I was having feelings for someone else.,Charlie,neutral,15,11,9,23,"00:43:06,667","00:43:12,547",o
161,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,neutral,15,12,9,23,"00:43:14,174","00:43:19,220",s
162,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,neutral,15,13,9,23,"00:43:19,388","00:43:22,765",s
163,"Yeah, can you guys just throw him in the pool later?",Charlie,neutral,15,14,9,23,"0:43:22,933","0:43:24,905",q
164,Or we could throw you both in,Professore Clerk,joy,15,15,9,23,"0:43:24,905","0:43:27,073",o
165,"Ok, gentlemen!",Ross,anger,15,16,9,23,"0:43:27,187","0:43:28,147",oth
166,Please!,Ross,anger,15,17,9,23,"0:43:28,147","0:43:28,699",oth
167,Aren't we a little old for this?,Ross,anger,15,18,9,23,"0:43:28,699","0:43:30,985",o
168,"I mean, we're scientists, right?",Ross,neutral,15,19,9,23,"0:43:31,066","0:43:32,788",o
169,We're academics.,Ross,anger,15,20,9,23,"0:43:32,788","0:43:33,798",s
170,And most importantly I... you-you will have to catch us first.,Ross,joy,15,21,9,23,"00:43:33,902","00:43:37,780",s
172,"GO, GO, GO!",Ross,joy,15,22,9,23,"00:43:37,948","00:43:40,366",c
173,"Go, go, go!",Ross,joy,16,0,3,25,"00:04:41,197","00:04:42,239",c
174,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,16,1,3,25,"00:04:42,407","00:04:44,574",o
175,Oy!!,Phoebe,disgust,16,2,3,25,"00:04:49,455","00:04:50,747",oth
176,Whats with all this sand?,Monica,surprise,16,3,3,25,"00:04:52,333","00:04:54,001",q
177,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,16,4,3,25,"00:04:54,168","00:04:56,795",s
178,"Yeah, either that, or he has a really big cat.",Ross,neutral,16,5,3,25,"00:04:57,005","00:04:59,214",o
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,17,0,5,19,"00:06:15,416","00:06:19,127",s
180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,17,1,5,19,"00:06:21,506","00:06:25,542",s
181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,17,2,5,19,"00:06:25,551","00:06:29,012",q
182,Rach? What are you doing?,Monica,neutral,17,3,5,19,"00:06:32,183","00:06:33,517",q
183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,17,4,5,19,"00:06:33,976","00:06:37,020",o
184,It's a diaper commercial.,Monica,neutral,17,5,5,19,"00:06:37,480","00:06:39,731",s
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,17,6,5,19,"00:06:40,817","00:06:43,735",s
186,Pizza delivery!,Caitlin,joy,17,7,5,19,"0:06:47,281","0:06:49,793",oth
187,I'll get it! I will get that!,Ross,joy,17,8,5,19,"0:06:49,793","0:06:50,887",s
188,Hi!,Caitlin,joy,17,9,5,19,"0:06:53,538","0:06:54,665",g
189,Hi!,Ross,joy,17,10,5,19,"0:06:54,665","0:06:54,803",g
190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,neutral,18,0,5,21,"00:05:05,096","00:05:09,474",q
191,"Uhh, the ball thing.",Joey,neutral,18,1,5,21,"0:05:09,642","0:05:11,603",ans
192,Yeah?,Ross,neutral,18,2,5,21,"0:05:11,603","0:05:12,542",b
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,18,3,5,21,"00:05:14,022","00:05:19,109",q
194,"Uhh,",Ross,neutral,18,4,5,21,"00:05:19,277","00:05:22,279",ans
195,Okay!,Joey,joy,18,5,5,21,"00:05:23,489","00:05:24,990",ag
196,Uh-oh.,Joey,fear,18,6,5,21,"0:05:28,578","0:05:29,670",b
197,What?,Ross,neutral,18,7,5,21,"0:05:29,670","0:05:30,222",q
198,I have to pee. And Rachel's in the bathroom!,Joey,sadness,18,8,5,21,"00:05:30,330","00:05:34,166",ans
199,"Man, I didn't think we were gonna make it!",Joey,surprise,18,9,5,21,"00:05:39,047","00:05:41,548",o
200,"I know! Don't switch hands, okay?",Ross,fear,18,10,5,21,"00:05:42,383","00:05:45,969",o
201,Hey.,Joey,neutral,19,0,1,1,"0:10:11,861","0:10:14,990",g
202,Hey!,Phoebe,neutral,19,1,1,1,"0:10:14,990","0:10:15,133",g
203,How did it go with Erin?,Rachel,neutral,20,0,7,7,"00:10:56,155","00:10:59,157",q
204,"Oh, unbelievable! We had the best time!",Joey,joy,20,1,7,7,"00:10:59,408","00:11:01,368",s
205,"Yay!! Oh so, youre not, youre not mad at us anymore?",Phoebe,joy,20,2,7,7,"00:11:01,535","00:11:06,164",q
206,No!,Joey,joy,20,3,7,7,"0:11:02,703","0:11:03,538",ans
207,No!,Joey,joy,20,4,7,7,"0:11:03,538","0:11:04,760",ans
208,No!,Joey,joy,20,5,7,7,"0:11:04,760","0:11:05,303",ans
209,You guys were totally right!,Joey,joy,20,6,7,7,"0:11:05,303","0:11:06,298",o
210,This is so much better than the first time we went out.,Joey,joy,20,7,7,7,"00:11:06,374","00:11:08,625",o
211,Yknow?,Joey,neutral,20,8,7,7,"00:11:08,625","00:11:08,834",oth
212,"That was so awkward, we were really nervous.",Joey,neutral,20,9,7,7,"00:11:08,834","00:11:11,378",o
213,Didnt you sleep together?,Phoebe,neutral,20,10,7,7,"0:11:11,629","0:11:12,811",q
214,"Yeah, that really calms me down.",Joey,neutral,20,11,7,7,"0:11:12,811","0:11:14,723",ans
215,And!,Joey,joy,20,12,7,7,"0:11:16,801","0:11:18,595",b
216,We have so much in common!,Joey,joy,20,13,7,7,"0:11:18,595","0:11:18,734",s
217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well thats a",Joey,joy,20,14,7,7,"00:11:18,928","00:11:31,356",s
218,"Oh my God! Listen to you talkin about having kids. Oh my Joey. Oh, please dont get married before I do.",Rachel,surprise,20,15,7,7,"00:11:27,228","00:11:37,862",o
219,Okay.,Joey,neutral,20,16,7,7,"00:11:41,742","00:11:43,493",ag
220,How does she do that?,Monica,surprise,21,0,1,4,"00:01:49,275","00:01:51,485",q
221,I cannot sleep in a public place.,Ross,neutral,21,1,1,4,"00:01:51,653","00:01:54,822",o
222,Would you look at her? She is so peaceful.,Monica,joy,21,2,1,4,"00:01:54,989","00:02:00,994",q
223,Oh! What what what! ...Hi.,Phoebe,surprise,21,3,1,4,"00:02:01,162","00:02:03,622",g
224,"It's okay, y'know, you just nodded off again.",Ross,neutral,21,4,1,4,"00:02:03,790","00:02:05,958",s
225,What's going on with you?,Monica,surprise,21,5,1,4,"00:02:06,126","00:02:08,127",q
226,I got no sleep last night!,Phoebe,anger,21,6,1,4,"0:02:08,294","0:02:09,587",ans
227,Why?,Ross,neutral,21,7,1,4,"0:02:09,587","0:02:09,991",q
228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,disgust,21,8,1,4,"00:02:10,088","00:02:17,177",ans
229,"Oh, and deaf.",Phoebe,neutral,21,9,1,4,"00:02:17,345","00:02:18,887",oth
230,"So they're constantly, like, having to reassure each other that they're having a good time.",Phoebe,neutral,21,10,1,4,"00:02:20,682","00:02:24,726",s
231,You have no idea how loud they are!,Phoebe,disgust,21,11,1,4,"00:02:24,894","00:02:26,937",s
232,"Well, if you want, you can stay with Rachel and me tonight.",Monica,neutral,21,12,1,4,"0:02:29,023","0:02:30,900",o
233,Thanks.,Phoebe,joy,21,13,1,4,"0:02:30,900","0:02:32,175",g
234,Ew! What is that? Something exploded!,Joey,disgust,22,0,1,23,"00:09:00,248","00:09:03,667",q
235,"It's just her water breaking. Calm down, will you?",Nurse,neutral,22,1,1,23,"00:09:03,834","00:09:06,169",ans
236,"Water breaking, what do you mean? What's that, water breaking?",Joey,surprise,22,2,1,23,"00:09:06,337","00:09:09,714",q
237,"Breathe, breathe, breathe.",Nurse,neutral,22,3,1,23,"00:09:09,882","00:09:13,510",oth
238,"Are you insane? I mean Joey, is going to kill you, hes actually going to kill you dead.",Monica,surprise,23,0,3,11,"00:10:13,321","00:10:19,909",o
239,Okay! You dont think I thought of that?,Chandler,anger,23,1,3,11,"00:10:17,825","00:10:19,909",s
240,How can you not know which one?,Phoebe,surprise,23,2,3,11,"0:10:20,870","0:10:22,422",q
241,I mean thats unbelievable.,Rachel,joy,23,3,3,11,"0:10:22,422","0:10:23,751",o
242,"I mean, was it Gina?",Monica,neutral,23,4,3,11,"0:10:23,873","0:10:24,873",q
243,Which one is Gina?,Ross,neutral,23,5,3,11,"0:10:24,873","0:10:25,937",q
244,"Dark, big hair, with the airplane earrings.",Rachel,neutral,23,6,3,11,"00:10:26,042","00:10:28,209",ans
245,"No, no, no, thats Dina.",Monica,neutral,23,7,3,11,"00:10:28,377","00:10:30,420",s
246,"You see you cant tell which one is which either, dwha!!",Chandler,surprise,23,8,3,11,"00:10:30,588","00:10:44,809",ag
247,"I dont know, you thought See you Saturday was funny.",Rachel,neutral,24,0,3,14,"00:10:40,389","00:10:44,059",s
248,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",Rachel,neutral,24,1,3,14,"00:10:44,727","00:10:49,397",o
249,You guys would never want to go to a lecture with me.,Rachel,neutral,24,2,3,14,"00:10:49,565","00:10:51,483",s
250,Pa-haa!! I would love to go with you.,Ross,joy,24,3,3,14,"00:10:54,987","00:10:56,571",o
251,Really!?,Rachel,surprise,24,4,3,14,"00:10:56,739","00:10:57,864",q
252,"Yeah, hey I-I have clothes, I even pick them out.",Ross,neutral,24,5,3,14,"00:10:58,032","00:11:01,660",ans
253,"I mean for, for all you know I could be a fashion..... monger.",Ross,neutral,24,6,3,14,"00:11:01,827","00:11:05,121",s
254,"Okay. Honey, I would love for you to go with me. What?",Rachel,joy,24,7,3,14,"00:11:11,379","00:11:15,256",o
255,"What should I wear, now Im all nervous.",Ross,fear,24,8,3,14,"00:11:15,549","00:11:19,969",q
256,": I know, we did it!! Hey, that was incredible, huh?!",Mr. Treeger,joy,25,0,4,4,"00:20:36,693","00:20:40,321",o
257,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",Joey,joy,25,1,4,4,"00:20:40,572","00:20:44,075",ag
258,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",Mr. Treeger,joy,25,2,4,4,"00:20:44,284","00:20:51,916",s
259,"Oh well, okay, good luck.",Joey,joy,25,3,4,4,"00:20:52,459","00:20:56,462",g
260,: Yeah.,Mr. Treeger,neutral,25,4,4,4,"00:20:54,962","00:20:56,462",oth
