TURN,UTTERANCE,DA,EMOTION
Ses01F_impro03_M021,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",o,neu
Ses01F_impro03_F023,Yeah.,ag,neu
Ses01F_impro03_F024,Well so now we're married. We have cat children.,s,hap
Ses01F_impro03_M022,Awesome.,a,exc
Ses01F_impro03_M023,[LAUGHTER] Cat babies.,s,hap
Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",s,hap
Ses01F_impro03_M024,That's fair enough.,o,neu
Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],s,hap
Ses01F_impro04_M000,"Have you tried, uh, Craig's List?",q,neu
Ses01F_impro04_F000,"Uh, what?  Craig's List?  Oh the internet thing?",q,neu
Ses01F_impro04_M001,Yeah.,ag,neu
Ses01F_impro04_F001,I don't know.  Isn't that-- that's all like escort services and things like that.,o,neu
Ses01F_impro04_M002,No.  There's regular jobs on there.,dag,neu
Ses01F_impro04_F002,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",o,fru
Ses01F_impro04_M003,Uh huh.,b,neu
Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,s,neu
Ses01F_impro04_F003,What kind of a job?,q,xxx
Ses01F_impro04_M005,He's like a manager for a theatre.,ans,neu
Ses01F_impro04_F004,Really?,q,xxx
Ses01F_impro04_M006,He's like a house manager. Yeah.  It's a good job.,ans,neu
Ses01F_impro04_F005,He just...,b,neu
Ses01F_impro04_F006,you know what?  I heard about that job.  I applied for that.,s,neu
Ses01F_impro04_M007,You did?,q,neu
Ses01F_impro04_F007,Yeah.  I saw a posting at the theatre.,ans,fru
Ses01F_impro04_M008,Yeah.,b,neu
Ses01F_impro04_F008,He got it?,q,xxx
Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago.  Right?,q,neu
Ses01F_impro04_F009,Yeah.,ans,neu
Ses01F_impro04_M010,Hmm.,b,neu
Ses01F_impro04_F010,What did he do?  What was so great?  I don't understand why they would pick him over me.,q,xxx
Ses01F_impro04_M011,I don't know.  He had a really good resume I guess and--,ans,neu
Ses01F_impro04_F011,A resume?,q,xxx
Ses01F_impro04_M012,Yeah.  Do you have a resume?,q,neu
Ses01F_impro04_F012,No.,ans,xxx
Ses01F_impro04_M013,It's kind of helpful when getting a job.,o,neu
Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,s,neu
Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,o,neu
Ses01F_impro04_F014,Yeah.,ag,neu
Ses01F_impro04_F015,I don't like- I don't like sending things in the mail.  I don't want my information out there.,o,xxx
Ses01F_impro04_M015,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",s,neu
Ses01F_impro04_F016,I'm there in front of them.  I'm telling them what I'm good at.,s,fru
Ses01F_impro04_M016,"Yeah.  But the piece of paper helps, too.",o,neu
Ses01F_impro04_F017,Why?  It's a piece of paper.,q,fru
Ses01F_impro04_M017,"No.  But it has an outline, you know.",ans,neu
Ses01F_impro04_F018,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",s,fru
Ses01F_impro04_M018,"I know.  Okay.  Well, um. Maybe--",ag,neu
Ses01F_impro04_F019,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",s,fru
Ses01F_impro04_M019,Yeah.,b,neu
Ses01F_impro04_M020,"Okay, yeah.  I would imagine.",ag,neu
Ses01F_impro04_F020,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,o,xxx
Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",o,neu
Ses01F_impro04_F021,"That's baloney, that's baloney.",o,fru
Ses01F_impro04_F022,Please.,dag,fru
Ses01F_impro04_M022,maybe get a car.,o,neu
Ses01F_impro04_M023,"I just, you know, think you should try a little harder maybe.",o,neu
Ses01F_impro04_F023,you think that you're better than me because I don't have a car?,q,fru
Ses01F_impro04_M024,I didn't say that.,dag,neu
Ses01F_impro04_F024,"You know, you're riding the bus, too.",s,fru
Ses01F_impro04_M025,"I am riding the bus, but by choice.",o,neu
Ses01F_impro04_F025,Why?  What choice?,q,fru
Ses01F_impro04_M026,"To save the environment, carpool.",ans,neu
Ses01F_impro04_F026,You're saving the environment. mmhmm,s,fru
Ses01F_impro04_M027,Yes.  One less car at a time.,ag,neu
Ses01F_impro04_F027,Interesting.  That's fantastic.,a,fru
Ses01F_impro04_M028,Mmhmm.,b,neu
Ses01F_impro04_M029,"You know, you don't have to take out your frustration on me, you know, just because...",s,fru
Ses01F_impro04_F028,I'm not frustrated.,dag,ang
Ses01F_impro04_M030,...you can't get a job and refuse to have a resume.,s,fru
Ses01F_impro04_F029,Who do you think you are?,q,ang
Ses01F_impro04_M031,I don't think I'm anyone.,ans,neu
Ses01F_impro04_F030,You are so high and mighty.  I just--,o,ang
Ses01F_impro04_M032,I- I-I didn't-- okay.,b,neu
Ses01F_impro04_F031,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,o,ang
Ses01F_impro04_M033,What?  No.,dag,xxx
Ses01F_impro04_M034,What? Oh.  So now you're...,s,fru
Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",o,ang
Ses01F_impro04_M035,you know what?  You don't have to take your anger and your hurt out on me.,c,fru
Ses01F_impro04_F033,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,o,ang
Ses01F_impro04_M036,Why not?,q,xxx
Ses01F_impro05_F000,Hi.,g,fru
Ses01F_impro05_M000,Hi.  Thanks for waiting.,g,neu
Ses01F_impro05_F001,Yeah. This is the fourth line that I have been in.,s,fru
Ses01F_impro05_M001,Can I help you?,q,hap
Ses01F_impro05_M002,Uh huh.,b,hap
Ses01F_impro05_F002,I need my bag.,s,fru
Ses01F_impro05_M003,Okay.,b,neu
Ses01F_impro05_F003,"I flew in over three hours ago, I've been in four different lines.",s,fru
Ses01F_impro05_M004,Okay.,b,neu
Ses01F_impro05_F004,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,s,fru
Ses01F_impro05_M005,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,q,neu
Ses01F_impro05_F005,Nash.,ans,fru
Ses01F_impro05_M006,Okay.,b,neu
Ses01F_impro05_F006,No G.,s,xxx
Ses01F_impro05_M007,all right- okay.  And you lost your bag? Is that- that the issue?,q,neu
Ses01F_impro05_F007,Yes.,ag,fru
Ses01F_impro05_F008,Flight seven fourteen.,s,ang
Ses01F_impro05_M008,Uh-huh.,b,neu
Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",q,ang
Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--",ans,neu
Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",s,neu
Ses01F_impro05_M011,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",ap,neu
Ses01F_impro05_F010,"Oh, Are you kidding me?",q,xxx
Ses01F_impro05_M012,"for such an inconvenience and your bag, but",ap,neu
Ses01F_impro05_F011,Is this a joke?,q,ang
Ses01F_impro05_M013,Yeah.,b,neu
Ses01F_impro05_M014,"No, no.",dag,neu
Ses01F_impro05_F012,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",q,ang
Ses01F_impro05_M015,"No, no.  This is real.",ans,neu
Ses01F_impro05_F013,So you'll give me money and then I'll get my bag?,q,xxx
Ses01F_impro05_M016,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",ans,neu
Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,s,neu
Ses01F_impro05_F014,"You're kidding me, this is a joke.",o,ang
Ses01F_impro05_M018,"Once again, I'm really- I'm really sorry.",ap,xxx
Ses01F_impro05_F015,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,q,ang
Ses01F_impro05_M019,Yes.,b,neu
Ses01F_impro05_M020,I know.,ag,neu
Ses01F_impro05_F016,We flew in from Paris.  I've been shopping for three weeks.,s,ang
Ses01F_impro05_M021,"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",s,xxx
Ses01F_impro05_F017,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,c,ang
Ses01F_impro05_M022,Okay. Calm-,c,neu
Ses01F_impro05_M023,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",s,neu
Ses01F_impro05_F018,Do you understand who my husband is?,q,ang
Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",o,ang
Ses01F_impro05_M024,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",s,neu
Ses01F_impro05_F020,Oh-Oh.  It's a gift.  You're-You're helping me out here?,q,ang
Ses01F_impro05_M025,It's a gift.,ans,neu
Ses01F_impro05_M026,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",s,neu
Ses01F_impro05_F021,You are cruising for a bruising.  You are in so much trouble.,o,ang
Ses01F_impro05_M027,With the amount of--,s,neu
Ses01F_impro05_F022,Who's in charge?  Who is the president of Jet Blue?,q,ang
Ses01F_impro05_M028,"Um, actually, I don't know. I don't know. Oh really?",ans,neu
Ses01F_impro05_F023,Because I probably know him.,s,ang
Ses01F_impro05_F024,Yeah.,ag,ang
Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,o,neu
Ses01F_impro05_F025,"I don't want money, I want my clothes.",s,ang
Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",s,neu
Ses01F_impro05_F026,What's your name?,q,ang
Ses01F_impro05_M031,Oh.  My name is Sean. Hi.,ans,neu
Ses01F_impro05_F027,Sean.  Great. Do you have a badge number or something?,q,xxx
Ses01F_impro05_M032,"Badge number?  Uh, no.  You can just take my employee number I guess.",ans,sur
Ses01F_impro05_F028,Okay.  I'll do that.,ag,ang
Ses01F_impro05_M033,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,q,sur
Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,ans,ang
Ses01F_impro05_M034,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",s,neu
Ses01F_impro05_F030,A letter? I'll make a personal phone call.,s,ang
Ses01F_impro05_M035,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",o,neu
Ses01F_impro06_M000,"I'm sorry, Joy.",ap,sad
Ses01F_impro06_F000,It's okay.,a,xxx
Ses01F_impro06_M001,Is there anything I can get you?  Do you want me to take care of anything for you or...?,q,neu
Ses01F_impro06_F001,"No, no, no.",ans,xxx
Ses01F_impro06_M002,...pick up anything?,q,neu
Ses01F_impro06_F002,No.,ans,sad
Ses01F_impro06_M003,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,o,sad
Ses01F_impro06_F003,That's sweet.,a,neu
Ses01F_impro06_F004,Thank you.,g,neu
Ses01F_impro06_F005,I went to see her headstone a week or two ago.,s,sad
Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",s,sad
Ses01F_impro06_M004,Hmm.,b,neu
Ses01F_impro06_F007,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,s,sad
Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,s,sad
Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there.",s,neu
Ses01F_impro06_M005,Oh.  She was there?,q,neu
Ses01F_impro06_F010,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",s,sad
Ses01F_impro06_F011,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",s,sad
Ses01F_impro06_M006,Mmhmm.,b,neu
Ses01F_impro06_F012,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",o,sad
Ses01F_impro06_M007,Yeah.,b,sad
Ses01F_impro06_F013,I don't know.,s,sad
Ses01F_impro06_M008,How long were you there for?,q,neu
Ses01F_impro06_F014,At the cemetery?,q,sad
Ses01F_impro06_M009,Mmhmm.,b,neu
Ses01F_impro06_F015,couple hours.,ans,sad
Ses01F_impro06_F016,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",s,neu
Ses01F_impro06_M010,Oh really?,q,neu
Ses01F_impro06_M011,You ran through the sprinklers in the cemetery?,q,neu
Ses01F_impro06_F017,It was hot.[LIPSMACK],ans,xxx
Ses01F_impro06_M012,Is it a big cemetery?,q,neu
Ses01F_impro06_F018,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,ans,neu
Ses01F_impro06_M013,"Oh, so they're like really old too, really old ones?",q,neu
Ses01F_impro06_F019,Yeah.,ag,neu
Ses01F_impro06_F020,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",s,sad
Ses01F_impro06_F021,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",s,sad
Ses01F_impro06_F022,She used to have these poetry parties on Memorial Day.,s,sad
Ses01F_impro06_M014,Mmhmm.,b,neu
Ses01F_impro06_F023,Umm. Yeah.,b,sad
Ses01F_impro06_F024,"And the last time before she died, I remember she couldn't really stand, umm...",s,sad
Ses01F_impro06_F025,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",s,sad
Ses01F_impro06_M015,Mmhmm.,b,neu
Ses01F_impro06_F026,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",ans,sad
Ses01F_impro06_M016,So she wrote a lot of poetry?,q,neu
Ses01F_impro06_F027,"There's another one, I can't remember.",ans,neu
Ses01F_impro06_F028,"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",s,sad
Ses01F_impro06_M017,Mmhmm.Mmhmm.Mmhmm.,b,xxx
Ses01F_impro07_M000,Did you get the letter?,q,exc
Ses01F_impro07_F000,"Yes.  There's a big envelope it says, you're in. I know.",ans,exc
Ses01F_impro07_M001,Yeah. That is so awesome.,a,exc
Ses01F_impro07_M002,Oh my God. What are you going to do? [LAUGHTER],q,exc
Ses01F_impro07_F001,So I have to move back to the ghetto but...I know.,s,xxx
Ses01F_impro07_M003,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",o,exc
Ses01F_impro07_F002,"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",s,exc
Ses01F_impro07_M004,"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",q,exc
Ses01F_impro07_F003,"Oh- I know, I know, I know, I know.",ag,exc
Ses01F_impro07_F004,"I don't know.  I spend so much time commuting as it is, I'd rather.",ans,exc
Ses01F_impro07_M005,This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,o,exc
Ses01F_impro07_F005,I know. We should throw a party.,ag,exc
Ses01F_impro07_F006,"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?",q,xxx
Ses01F_impro07_M006,A rapper party ho. Yeah. Okay.,ag,exc
Ses01F_impro07_M007,"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",ans,exc
Ses01F_impro07_F007,It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,o,xxx
Ses01F_impro07_M008,Yeah.  Big time.,ag,exc
Ses01F_impro07_M009,Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,q,exc
Ses01F_impro07_F008,"Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.",ans,xxx
Ses01F_impro07_M010,"Oh, okay.",b,xxx
Ses01F_impro07_M011,Ooh. Fancy.,o,xxx
Ses01F_impro07_F009,Yeah.  I'm not sure.,o,exc
Ses01F_impro07_M012,Is this a Masters or a P.h.D.?  Or can you...? Nice,q,neu
Ses01F_impro07_F010,Umm...P.h.D. [LAUGHTER],ans,exc
Ses01F_impro07_M013,"That's good.  Don't you have to like teach a class, too, when you do that?",q,neu
Ses01F_impro07_F011,"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.",ans,xxx
Ses01F_impro07_M014,"Teacher. Mrs. Nash, I have a question.",s,exc
Ses01F_impro07_F012,So I get to mold young minds. Mrs.?  That's my mother.,o,exc
Ses01F_impro07_M015,You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,s,exc
Ses01F_impro07_F013,"I would be like- Oh. Right, right, right.",s,exc
Ses01F_impro07_M016,"Mrs. Nash.  That's so awesome, though.",o,xxx
Ses01F_impro07_F014,"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.",o,xxx
Ses01F_impro07_M017,Yay...School's fun.,ag,exc
Ses01F_impro07_M018,"Of course, right.  That's where the real money is, being a student.",o,neu
Ses01F_impro07_F015,Yeah.  Totally. [LAUGHTER],ag,xxx
Ses01F_impro07_M019,That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,c,hap
Ses01F_impro07_F016,"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",ag,exc
Ses01F_script01_1_F000,What's he going to say?,q,fru
Ses01F_script01_1_F001,Maybe we should tell him before he sees it.,o,xxx
Ses01F_script01_1_M000,He saw it.,s,neu
Ses01F_script01_1_F002,How could he see it?  I was the first one up; he was still in bed.,q,sur
Ses01F_script01_1_M001,He was out here when it broke.,ans,neu
Ses01F_script01_1_F003,When?,q,xxx
Ses01F_script01_1_M002,Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,ans,neu
Ses01F_script01_1_F004,What was he doing out here at four o clock in the morning?,q,xxx
Ses01F_script01_1_M003,I don't know.,ans,neu
Ses01F_script01_1_F005,"He's dreaming of him again, walking around.",s,neu
Ses01F_script01_1_M004,I guess he is.,ag,neu
Ses01F_script01_1_F006,It's getting to be just like after he died.  What's the meaning of that?,q,xxx
Ses01F_script01_1_M005,"I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father.",ans,fru
Ses01F_script01_1_F007,What?,q,xxx
Ses01F_script01_1_M006,"Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.",ans,xxx
Ses01F_script01_1_F008,What do you mean dishonest?,q,xxx
Ses01F_script01_1_M007,You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,ans,neu
