TURN,UTTERANCE,DA,EMOTION
Ses03F_impro02_F031,"and if we survive, if we survive that then babe, you know you know we could survive any--",s,sad
Ses03F_impro02_F032,I will come back.,ans,sad
Ses03F_impro02_M023,"What am I supposed--oh, one out of five people aren't coming back.",s,xxx
Ses03F_impro02_M024,It doesn't look very good.,o,sad
Ses03F_impro02_F033,I can do it. I'm going to do it. And I'll be back safe and sound and-,o,xxx
Ses03F_impro02_F034,we'll have all the money that we ever needed.,s,sad
Ses03F_impro02_F035,And- And then I'll stop working and- I'll stay home with the baby.,o,sad
Ses03F_impro02_M025,I don't want the money. I want-you here,o,sad
Ses03F_impro02_M026,"we'll get money, all right? You don't need the job, all right?",o,xxx
Ses03F_impro02_M027,If your life is going to be in danger and this family is going to be in danger we don't need the job. We'll find the money.,o,ang
Ses03F_impro02_F036,It's all I ever knew how to do. I can't quit now.,o,sad
Ses03F_impro02_M028,How are we supposed to tell Amy? How's she supposed to understand that?,q,sad
Ses03F_impro02_F037,"Well, we- we tell her mommy's going on va- on a trip for for- a while.",ans,sad
Ses03F_impro02_M029,"How is she going to feel the first year in school, no mom.",q,sad
Ses03F_impro02_F038,Don't do that to me.,ans,sad
Ses03F_impro02_F039,"It's hard enough already, Brian, I can't.",o,sad
Ses03F_impro02_M030,I'm not thinking about just me; I'm thinking about our child.,o,xxx
Ses03F_impro02_F040,I know.,ag,sad
Ses03F_impro02_F041,"I didn't expect this to happen. I never planned for this. Some things you just don't plan for, you know.",o,sad
Ses03F_impro02_F042,"I'm sorry, babe.",ap,sad
Ses03F_impro02_F043,I'm so sorry.,ap,sad
Ses03F_impro02_M031,"All right, then.",ag,sad
Ses03F_impro03_M000,"Oh, my God, look at that. Huh-oh, how many carats is that?",q,exc
Ses03F_impro03_F000,"I know. [LAUGHTER]. Dude, I don't know. It's- Probably. It's huge. I don't even know how to like wear it. My hand is like going down like really low. I can't believe it.",ans,xxx
Ses03F_impro03_M003,Is it-,b,xxx
Ses03F_impro03_F001,"I- Yeah, it's-",ag,xxx
Ses03F_impro03_M005,yeah [LAUGHTER],b,exc
Ses03F_impro03_M006,"Yeah, The Lousy Chaperone. [LAUGHTER] Uh huh.",ans,exc
Ses03F_impro03_F004,"at the end of the performance, you know, like we're all clapping and stuff. And all of a sudden I look over and",s,exc
Ses03F_impro03_F005,"Joe's gone. -where did he go, you know?",s,exc
Ses03F_impro03_M008,Uh huh. Oh-,b,xxx
Ses03F_impro03_F006,"And I'm like oh, he went to the- -the bathroom, but he didn't tell me, I didn't even notice him leaving. And all of a sudden, I swear to God, I'm sitting there and-",s,exc
Ses03F_impro03_F007,he comes up onstage-- And the entire cast everyone just like,s,exc
Ses03F_impro03_M009,oh-,b,sur
Ses03F_impro03_F008,goes up there and everyone's clapping and he's standing there and they put a spotlight on him.,s,exc
Ses03F_impro03_M010,"Oh, my God.",b,exc
Ses03F_impro03_F009,"And I'm like freaking out. I'm like what the hell's going on, you know. I don't know what's going on. And so he's like standing there and then all of a sudden they give him a microphone-",s,exc
Ses03F_impro03_F010,and he just starts doing like this little spiel about me and like,s,xxx
Ses03F_impro03_F011,"he asked me to marry him, like- onstage. I was like, I couldn't believe--and I had to walk up there and I was, like I think I tripped or something.",s,exc
Ses03F_impro03_M011,Are you kidding me?,q,xxx
Ses03F_impro03_M012,"Wha- What'd you say? You said yes, right? [LAUGHTER]",q,xxx
Ses03F_impro03_F012,"Yeah, I said yes, but I, yeah, I mean,",ans,exc
Ses03F_impro03_F013,"I don't know- it just like took me, took me by surprise.",o,exc
Ses03F_impro03_F014,He scored points.,s,hap
Ses03F_impro03_M013,Did you get a standing ovation?,q,xxx
Ses03F_impro03_F015,"Oh, yeah. Everyone--yeah. And people--friends of ours were in the audience, I didn't know about, like family members.",ans,hap
Ses03F_impro03_F016,Yeah. It was great.,ans,exc
Ses03F_impro03_M014,Are you serious?,q,xxx
Ses03F_impro03_F017,"It was--I cried,",s,exc
Ses03F_impro03_M015,"No, you deserve to cry. I mean, tears of happiness.",o,hap
Ses03F_impro03_F018,"like a loser, I cried.",s,hap
Ses03F_impro03_F019,"But, I don't know, I--it's so weird to think I'm marrying somebody 'cause I feel so young, you know?",o,hap
Ses03F_impro03_M016,So where- where- where is this--have you talked about where it's going to be?,q,xxx
Ses03F_impro03_F020,No. No plans. or any- and probably,ans,hap
Ses03F_impro03_F021,"like I think I want to get married--I want to have two weddings. One here, then one in Europe.",s,hap
Ses03F_impro03_M017,Hawaii? No.,q,xxx
Ses03F_impro03_F022,No. Hawaii's for honeymoons. But uh--,ans,xxx
Ses03F_impro03_M018,Oh. Like Paris? On the Eiffel Tower?,q,xxx
Ses03F_impro03_F023,"Oh, maybe. I don't know. I've been there so many times. I think it's--we're going to get married in Spain and then we're going to get married here.",ans,xxx
Ses03F_impro03_M019,He's rich enough. Maybe you can rent out the Eiffel Tower for your--,o,xxx
Ses03F_impro03_M020,"Oh, Jesus.",b,xxx
Ses03F_impro03_M021,That's awesome. [LAUGHTER] Marriage.,o,exc
Ses03F_impro03_F024,Yeah. I'm so excited. [LAUGHTER].,o,exc
Ses03F_impro04_F000,"I don't know, Brian, if they uh--it's been three years.",s,fru
Ses03F_impro04_M000,"Hey, you just got to keep on going.",o,neu
Ses03F_impro04_F001,"No, I don't know, I--maybe this isn't for me. You know, maybe this isn't the right business for me.",o,fru
Ses03F_impro04_M001,"No, don't think like that.",dag,neu
Ses03F_impro04_M002,Russel Crowe wasn't forty until he got his big stuff.,s,neu
Ses03F_impro04_M003,"If you really want to do it-I mean,",o,neu
Ses03F_impro04_F004,So I'll have to wait twenty five years-,o,fru
Ses03F_impro04_M004,you got to do.,o,neu
Ses03F_impro04_M006,we're just pooling our funds together.,s,neu
Ses03F_impro04_F006,"I know, I just don't know if I can handle it. I mean, you're helping me so much financially it's like I can't survive on my own without you. I don't like that.",ag,fru
Ses03F_impro04_M007,You don't owe me anything.,s,neu
Ses03F_impro04_F007,I feel like I'm not doing anything. Like I'm not giving anything into this world.,o,fru
Ses03F_impro04_M008,"You are, you're going to class, you're learning, you're getting better. When you finally get that role you're going to be prepared.",dag,neu
Ses03F_impro04_F008,"Yeah, but what if I never make it? What if I studied all my life, this theatre, this acting, and I'm never going to get anywhere. I'm never going to be able to have a job.",o,fru
Ses03F_impro04_M009,"Oh my God, Anna, you're still young. Don't even think about that.",c,neu
Ses03F_impro04_F009,Time is passing by. Every year it's,s,fru
Ses03F_impro04_F010,a part left than I can do.,s,fru
Ses03F_impro04_M010,"You're only twenty five, okay? Some people don't start until they're thirty five.",o,neu
Ses03F_impro04_F011,Really?,q,sur
Ses03F_impro04_M011,Yeah.,ans,neu
Ses03F_impro04_F012,"I don't know, I just [BREATHING] I get frustrated",o,fru
Ses03F_impro04_M012,What would you do- What would you do if you didn't? You can go to law school.,q,neu
Ses03F_impro04_F013,That's the thing. I don't know. I don't know anything.,ans,fru
Ses03F_impro04_F014,Law school? Maybe.,o,fru
Ses03F_impro04_F015,"I don't know. I don't know anything other than this, though, is the problem. This is my life. This is what I built everything about, you know.",o,xxx
Ses03F_impro04_M013,See? So you can't just quit now.,o,neu
Ses03F_impro04_F016,"I mean, I could go to law school, but I'm just not passionate about it, you know? Like I'm not--it doesn't drive me, it doesn't motivate me. I--",o,xxx
Ses03F_impro04_M014,Have you been going to auditions and stuff?,q,neu
Ses03F_impro04_F017,"Yeah. I mean, I get a call-back and stuff, but-",ans,fru
Ses03F_impro04_F018,"I just, I need a break. I need something to break me out.",o,fru
Ses03F_impro04_M015,How's the job? Still waiting tables at Denny's?,q,neu
Ses03F_impro04_F019,Yeah. Unfortunately.,ans,xxx
Ses03F_impro04_F020,"Yeah, so I go to--get an education for four years and I'm waiting tables at Denny's.",s,xxx
Ses03F_impro04_M016,"Well, they tip well.",s,neu
Ses03F_impro04_F021,[BREATHING] Brian-,b,fru
Ses03F_impro04_F022,it's not funny. I just don't know what I'm going to do.,o,sad
Ses03F_impro04_M017,Maybe you could start teaching. I don't know.,o,neu
Ses03F_impro04_F023,"Yeah, I guess I could.",ag,sad
Ses03F_impro04_M018,"Go back to school. You know? Another three more years, get your master's.",o,neu
Ses03F_impro04_F024,Yeah,ag,sad
Ses03F_impro04_M019,"Close to thirty. Oof, it's going to be tough.",o,neu
Ses03F_impro04_F025,Thanks.,g,xxx
Ses03F_impro04_M020,[LAUGHTER],oth,xxx
Ses03F_impro04_F026,[BREATHING],oth,fru
Ses03F_impro05_F000,"Look sir, I've been waiting for about an hour and my luggage still hasn't come. What's going on?",q,fru
Ses03F_impro05_M000,"I'm sorry, Mrs. Rosenkrantz, but uh- I don't know what to tell you.",ap,fru
Ses03F_impro05_F001,"What do you mean, you don't know what to tell me? I have two luggage that I've been coming--they're coming--from France and I need them here. I'm home now. I need to go start working.",s,fru
Ses03F_impro05_M001,Did you- Did you check with the lost and found?,q,fru
Ses03F_impro05_F002,"Where? I don't know. The lost and found. What do you mean, lost and found?",q,ang
Ses03F_impro05_F003,I had my luggage transferred here from Paris to L.A. and now I'm here and I need to be working and I have all my stuff in there.,s,fru
Ses03F_impro05_M003,"Oh, not--we didn't lose it; maybe the airport lost it. Maybe someone stole it.",o,neu
Ses03F_impro05_F005,"Wait, sir. You're- You're completely not--what do you mean, stole it? How can they just steal it from an airplane? It was up in the air?",q,ang
Ses03F_impro05_M004,"No, I mean, maybe in the little--going around thingy thing where bopper stole it from there.",ans,fru
Ses03F_impro05_F006,Okay. All I know is that I am supposed to have my language here right now. Right now. And it's not there. And you're supposed to help me because you work at the airport. So give me my luggage or tell me where the hell it is.,s,fru
Ses03F_impro05_M005,Okay. What can we do is we can get your name and information and if it shows up we can send it to you so-- Wherever you stay,s,fru
Ses03F_impro05_F007,"What do you mean, if it shows up? No, I need it now. I have my keys, I have my wallet, I have my money. I have thousands and thousands of dollars worth of stuff in there.",s,ang
Ses03F_impro05_F008,Not to mention I have my work in there.,s,ang
Ses03F_impro05_M006,"Well, I'll have you fill out some paperwork and see if you can get started on something.",s,fru
Ses03F_impro05_F009,"And what if- what if it is lost? Well, what are you guys going to do for me?",q,ang
Ses03F_impro05_M007,"You know, we'll file a complaint and we could possibly, you know, replace some of the things. I think-",ans,xxx
Ses03F_impro05_M008,and when you sign your ticket we could replace about fifteen percent of what's in the bag.,s,neu
Ses03F_impro05_F010,Fifteen percent?,q,ang
Ses03F_impro05_M009,Up to a limit of twenty five dollars.,ans,neu
Ses03F_impro05_F011,What? There- There's hundreds of thousands of dollars worth of stuff in there.,s,ang
Ses03F_impro05_M010,"Whoa, maybe you should uh- have thought of a better way to send it than just in a bag, hmm? Did you think about that?",q,fru
Ses03F_impro05_F012,"No, no, no. You don't understand. This is--these are my belongings in the luggage. And I went to Paris.",ans,fru
Ses03F_impro05_F013,"Sir, why are you laughing at me? This isn't funny.",o,fru
Ses03F_impro05_M011,"I think that's kind of stupid, that you put a hundred thousands of dollars in the bag.",o,neu
Ses03F_impro05_F014,"Well I'm sorry, if I--no, it's not stupid. You are supposed to have my luggage.",dag,xxx
Ses03F_impro05_M012,Did you lock- Did you lock it even? You probably didn't even lock it.,q,fru
Ses03F_impro05_F015,"No, they said I couldn't lock it.",ans,ang
Ses03F_impro05_MXX0,"[LAUGHTER], That's what they say.",s,-
Ses03F_impro05_F016,Give me--I'm going to talk to your supervisor. Give me your supervisor. I want to talk to your supervisor right now.,c,ang
Ses03F_impro05_M013,"Okay, let me get him.Oh, guess who the supervisor is? It's me.",s,neu
Ses03F_impro05_M014,"What, do you have questions?",q,neu
Ses03F_impro05_F017,"Well, get- I want the C.E.O. then.",s,ang
Ses03F_impro06_M000,How you doing?,q,neu
Ses03F_impro06_F000,Okay.,ans,sad
Ses03F_impro06_F001,Yeah. Wow.,b,sad
Ses03F_impro06_M001,We're all going to miss him.,o,neu
Ses03F_impro06_F002,"Mmm hmm. I never knew it was going to be this hard, you know.",o,sad
Ses03F_impro06_F003,It's weird 'cause it's like you expected it to happen and eventually-,o,sad
Ses03F_impro06_F004,"he had cancer, you know?",s,sad
Ses03F_impro06_MXX0,"Mmm, Hmm.",a,-
Ses03F_impro06_F005,"They thought he got--would get better and he did, and then it just- things turned bad.",s,sad
Ses03F_impro06_F006,"Turned around for the worst, you know.",s,sad
Ses03F_impro06_M002,"I didn't know him, Tricia, but uh- I heard that he was a great man.",s,sad
Ses03F_impro06_F007,He was amazing.,o,sad
Ses03F_impro06_F008,I loved that boy.,o,sad
Ses03F_impro06_F009,"We did everything together, you know.",s,sad
Ses03F_impro06_F010,"It's weird, I think. I feel so alone, you know? What am I going to do now? Now that he's gone.",q,sad
Ses03F_impro06_F011,He's so young. It seems so--,s,sad
Ses03F_impro06_F012,so wrong in so many ways.,o,sad
Ses03F_impro06_F013,"His poor parents. You know, it's their only son.",s,sad
Ses03F_impro06_M003,yeah.,b,neu
Ses03F_impro06_F014,"Kind of a whole year. I mean, he suffered with this, this monster, this thing, this disease.",s,sad
Ses03F_impro06_M004,"He was in chemo the whole time, right?",q,sad
Ses03F_impro06_FXX0,Yeah.,ans,-
Ses03F_impro06_M005,And he just got that baseball scholarship.,s,sad
Ses03F_impro06_F015,"I know. He was, he had so much going for him.",ag,sad
Ses03F_impro06_F016,"So handsome, so young, so gifted.",o,sad
Ses03F_impro06_F017,So talented.,o,sad
Ses03F_impro06_F018,"Such a sweet person, you know?",o,sad
Ses03F_impro06_M006,How's his parents doing?,q,sad
Ses03F_impro06_F019,Not very good.,ans,sad
Ses03F_impro06_F020,"Can you imagine, though, you know, as a parent, just losing a kid? Twenty-two years old.",o,sad
Ses03F_impro06_F024,He was my brother.,s,sad
Ses03F_impro06_F025,"Just seems so unfair, is the way it is.",o,sad
Ses03F_impro06_F026,"You know, he had that really pretty girlfriend for like about a year and-",s,sad
Ses03F_impro06_M008,What was her name?,q,sad
Ses03F_impro06_F027,Kelly. Kelly Uveny.,ans,sad
Ses03F_impro06_MXX1,Kelly.,b,-
Ses03F_impro06_F028,They talked about getting married and--,s,sad
Ses03F_impro06_M009,Trying to have a baby.,s,sad
Ses03F_impro06_F029,"Yeah. But then when he got cancer and it got bad, you know, she just took off and-",ag,sad
Ses03F_impro06_F030,so I was there for him.,s,sad
Ses03F_impro06_M010,Some people.,o,sad
Ses03F_impro06_M011,"Yeah, but you were there all the hospital days. By his bed-",s,sad
Ses03F_impro06_F031,"Yeah. God, I loved that kid.",o,sad
Ses03F_impro06_M012,"So nice, so positive.",o,sad
Ses03F_impro06_F032,yeah.,ag,sad
Ses03F_impro06_M013,We need more people like him.,o,sad
Ses03F_impro06_F033,"Joe, do you think he knew I loved him?",q,sad
Ses03F_impro06_M014,I don't know.,ans,sad
Ses03F_impro06_F034,"I never told him, I love you, but-",s,sad
Ses03F_impro06_F035,I loved him so much.,o,sad
Ses03F_impro06_M015,I don't know if Benny was smart like that- but-,o,sad
Ses03F_impro06_M016,I'm sure he loved you too. He just didn't know it.,o,sad
Ses03F_impro06_FXX1,"Yeah, man.",ag,-
Ses03F_impro07_M000,"Hey, Isabella.",g,neu
Ses03F_impro07_F001,"Uh-, So I got some good news.",s,hap
Ses03F_impro07_M003,You're not pregnant or anything.,q,neu
Ses03F_impro07_F004,I have some better news than that.,ans,hap
Ses03F_impro07_M005,"Oh, really?",q,xxx
Ses03F_impro07_F005,"Yes, What would you want more than anything in this world?",q,hap
Ses03F_impro07_M006,A chocolate cake?,ans,xxx
Ses03F_impro07_F006,How about maybe for me to possibly stay in L.A.?,q,xxx
Ses03F_impro07_M007,"Oh, wow. You got in?",q,xxx
Ses03F_impro07_M008,Which one?,q,exc
Ses03F_impro07_F007,"I got--U.S.C.. I got- Yeah, I got the acceptance letter.",ans,exc
Ses03F_impro07_M009,oh really?,q,sur
Ses03F_impro07_M010,You got in? Wow.,q,xxx
Ses03F_impro07_F008,"Yes, me, I got in. Thank you very much.",ans,exc
Ses03F_impro07_M011,Good for you.,o,exc
Ses03F_impro07_F009,"Yeah, I know, my mom called me. I was with my girlfriend in Boston, and uh- she got the letter and she called me, she said I don't know, do you want me to open it? And I was like yes, open it. And she opened it and she goes oh, I'm sorry, Nat.",s,exc
Ses03F_impro07_F010,"And I was like what? She's like, you know, you didn't get in. Totally plays it off. Like I didn't get in. And I'm like, I start almost crying.",s,xxx
Ses03F_impro07_MXX0,"Uh-huh, uh-huh.",b,-
Ses03F_impro07_F011,"And my mom was like Natalie, Natalie, it's [GARBAGE], you know-",s,exc
Ses03F_impro07_M012,oh yeah.,b,neu
Ses03F_impro07_F012,"and so, I mean, I got in.",s,hap
Ses03F_impro07_M013,"Oh, Jesus. That is so amazing.",o,exc
Ses03F_impro07_F013,So now I can stay here and now we can party. I know.,o,hap
Ses03F_impro07_M014,Party. You want to get drunk tonight?,q,exc
Ses03F_impro07_F014,"Yeah, why not.",ans,exc
Ses03F_impro07_M015,"Yeah, we're going to celebrate.",o,exc
Ses03F_impro07_F015,"We're not twenty one yet, but whatever.",s,neu
Ses03F_impro07_M016,"Yeah, I'm only eighteen so it's--go get drunk.",s,xxx
Ses03F_impro07_F016,"[LAUGHTER]. I'm so excited, Joe. Oh, man, I-- And I got in--I got into the school of theatre, so it's like-",s,exc
Ses03F_impro07_M017,Shit. That's-,b,sur
Ses03F_impro07_M018,"Oh, my God. That's--I heard it's top five-- --in the Grauman scale or something.",s,sur
Ses03F_impro07_F017,Yeah. It's really cool.,ag,hap
Ses03F_impro07_F018,Yeah.,ag,xxx
Ses03F_impro07_F019,Top five in the nation.,s,hap
Ses03F_impro07_M019,Who-whooooo. Miss Acti- Acting Pants.,s,exc
Ses03F_impro07_F020,"Acting Pants? So what are you going to do? Are you--you're be--you're going to stay here, right?",q,exc
Ses03F_impro07_M020,Acti- acting pants.,s,xxx
Ses03F_impro07_M021,I got into film school at the Art Academy.,ans,neu
Ses03F_impro07_F021,Awesome. We're both going to be in L.A.,s,exc
Ses03F_impro07_MXX1,Uh-huh.,b,-
Ses03F_impro07_M022,So I'm going to be--yeah. I'm going to make films; you're going to be in them.,o,exc
Ses03F_impro07_F022,"I'm so excited. Yeah, I thought I was going to go to Boston, but then--",s,exc
Ses03F_impro07_M023,Fuck Boston.,o,neu
Ses03F_impro07_F023,"Oh man, I'm so excited. So much to do.",o,hap
Ses03F_impro07_M024,Boston smells bad. L.A. is so much cooler.,o,xxx
Ses03F_impro07_F024,"There's so much culture here, you know? It's just like-- --all great restaurants and-",o,xxx
Ses03F_impro07_MXX2,Yeah.,ag,-
Ses03F_impro07_F025,I'm just so excited to start my life.,o,hap
Ses03F_impro07_M025,We should uh- go to Little Ethiopia.,s,neu
Ses03F_impro07_F026,"Oh, and you sit down and you have the sponge bread-- --and eat the--drink the beer. Ugh, I love that stuff. I'm so excited.",o,exc
Ses03F_impro07_MXX3,Yeah.,ag,-
Ses03F_impro07_F027,Are you going to come stay in my dorm with me sometime?,q,exc
Ses03F_impro07_M026,"Hell, yeah. Pass out.",ans,exc
Ses03F_impro07_F028,Yeah. I'll get like one of those little--,s,exc
Ses03F_impro07_F029,Yeah. Those little-- --mattresses. I'll put it by my bed.,s,exc
Ses03F_impro07_M027,-drunk.,s,exc
Ses03F_impro07_M028,"No, I'll sleep in your bed. Cuddle up.",s,exc
Ses03F_impro07_F030,"Oh, I don't think so. Hmm-mm. No.",dag,xxx
Ses03F_impro07_M029,Uh-oh.,b,exc
Ses03F_impro07_F031,That's going to--that'll be reserved for somebody else.,o,neu
Ses03F_impro07_M030,"Oh, hey. Freshman slut. That's you gona need.",o,xxx
Ses03F_impro07_F032,[LAUGHTER] Hello? I am not.,dag,hap
Ses03F_impro07_M031,"That's what you got to be though, freshman year.",o,xxx
Ses03F_impro07_F033,"No, I don't. I'm not like that.",dag,xxx
Ses03F_impro07_M032,Yeah.,b,exc
Ses03F_impro07_M033,"Well, get used to it.",o,neu
Ses03F_impro07_F034,"[LAUGHTER]. No, you'd get used to it.",o,hap
Ses03F_impro07_M034,"Hey, I'm already getting used to it.",ag,hap
Ses03F_impro07_F035,"[LAUGHTER]. Oh, Joe, I'm so happy.",o,hap
Ses03F_impro07_M035,"Me too, Isabella.",a,hap
Ses03F_impro08_M000,"Hey, you stupid dumb shit machine, give me a fucking operator, huh?",q,ang
Ses03F_impro08_F000,"Hello sir, can I help you?",q,neu
Ses03F_impro08_M001,"Yeah, I've been on the-with the machine for like thirty minutes--",ans,xxx
Ses03F_impro08_F002,"Yes, sir, I'm very sorry, but we've had some trouble here.  There's been a lot of calls and the system has-",ans,neu
Ses03F_impro08_M003,"Fuck, do you think I have all day?  Jesus",s,xxx
Ses03F_impro08_F003,"Sir, please calm down.  There's no reason to use profanity like that.  It's not-",c,neu
Ses03F_impro08_M005,Yeah.,ans,xxx
Ses03F_impro08_F005,"Well, um- we have a little problem with the system going on.  One of our satellites is down, and I-",s,neu
Ses03F_impro08_M006,You know what?  I'm just going to- Patient?  I'm a busy man.,s,ang
Ses03F_impro08_F006,"You're going to have to just be patient with us, sir, as we",s,neu
Ses03F_impro08_F007,"Well, I know sir, and we all are busy.",ag,neu
Ses03F_impro08_F008,But I'm going to definitely have to- uh--get your contact information,s,neu
Ses03F_impro08_M007,"-have to, have to what?",q,ang
Ses03F_impro08_M008,What?  It's my phone.  You can't even call me on it. I don't have another phone.,ans,ang
Ses03F_impro08_FXX0,"Well, I don't-",b,-
Ses03F_impro08_F009,"Okay, well, if you would like, um- we will be turning on the systems in probably about ten hours.",s,neu
Ses03F_impro08_M009,What?  Are you kidding me?,q,ang
Ses03F_impro08_F010,"Sir, I'm very sorry, but this is the way it is.  This- We have no control over it.  It's going to take-  -but you have to be patient with us.  You can use a calling card.  We will give you a free calling card to use.",ans,neu
Ses03F_impro08_M010,"Oh, my God.",b,ang
Ses03F_impro08_M011,I- I'm going to kill myself right now.,o,ang
Ses03F_impro08_M012,A free calling card?,q,ang
Ses03F_impro08_F011,"Do you have a land line, sir?",q,neu
Ses03F_impro08_M013,"No, I don't have a land line.",ans,xxx
Ses03F_impro08_F012,"Okay, well, we will send you- We will reimburse you for the amount of minutes that you-",s,neu
Ses03F_impro08_F013,-on average would use.,s,neu
Ses03F_impro08_M014,"That's it? Okay, yeah.  What else?",q,ang
Ses03F_impro08_F014,"And we will probably send you a calling card.  I'm very sorry.  You're just going to have to be patient, sir.",ans,neu
Ses03F_impro08_M015,"Okay, I need more than this.  Are you going to give me a little bit more?",q,ang
Ses03F_impro08_F015,"No, we don't just give you things.  We're- we're-",ans,neu
Ses03F_impro08_F016,we compensating you for all your-,s,neu
Ses03F_impro08_M016,So you take things from me and you expect me just to wait around.,o,fru
